prov_name_fr_1,Census_subdivision,prov_name_fr_2,Electoral_district,area,prov_name_fr,total_tract_area,tract_percent
Nouvelle-Écosse,Amherst,Nouvelle-Écosse,Cumberland--Colchester,9106538.008583603,Nouvelle-Écosse,9106538.008583603,1.0
Nouvelle-Écosse,Annapolis Royal,Nouvelle-Écosse,Nova-Ouest,1461313.6026054528,Nouvelle-Écosse,1461313.6026054525,1.0000000000000002
Nouvelle-Écosse,Annapolis Valley First Nation,Nouvelle-Écosse,Kings--Hants,677659.6544916378,Nouvelle-Écosse,677659.654491638,0.9999999999999998
Nouvelle-Écosse,"Annapolis, Subd. A",Nouvelle-Écosse,Nova-Ouest,637898378.8942667,Nouvelle-Écosse,825825171.477192,0.772437558125321
Nouvelle-Écosse,"Annapolis, Subd. B",Nouvelle-Écosse,Nova-Ouest,384729130.9762861,Nouvelle-Écosse,455196488.8866247,0.8451935381076944
Nouvelle-Écosse,"Annapolis, Subd. C",Nouvelle-Écosse,Nova-Ouest,205848407.10115325,Nouvelle-Écosse,260734529.70845458,0.7894942312831625
Nouvelle-Écosse,"Annapolis, Subd. D",Nouvelle-Écosse,South Shore--St. Margarets,876222.354965385,Nouvelle-Écosse,2139504781.5908017,0.0004095444714612327
Nouvelle-Écosse,"Annapolis, Subd. D",Nouvelle-Écosse,Nova-Ouest,2138628559.235836,Nouvelle-Écosse,2139504781.5908017,0.9995904555285386
Nouvelle-Écosse,Antigonish,Nouvelle-Écosse,Nova-Centre,3611142.8308155406,Nouvelle-Écosse,3611142.8308155406,1.0
Nouvelle-Écosse,"Antigonish, Subd. A",Nouvelle-Écosse,Cape Breton--Canso,8719746.309529517,Nouvelle-Écosse,1609752987.287691,0.005416822567431052
Nouvelle-Écosse,"Antigonish, Subd. A",Nouvelle-Écosse,Nova-Centre,932633777.7330705,Nouvelle-Écosse,1609752987.287691,0.5793645267927013
Nouvelle-Écosse,"Antigonish, Subd. B",Nouvelle-Écosse,Cape Breton--Canso,531417302.0982436,Nouvelle-Écosse,978514563.6241286,0.5430857361284752
Nouvelle-Écosse,"Antigonish, Subd. B",Nouvelle-Écosse,Nova-Centre,91401.90501404434,Nouvelle-Écosse,978514563.6241286,9.340883458649682e-05
Nouvelle-Écosse,Argyle,Nouvelle-Écosse,Nova-Ouest,1610962917.7966063,Nouvelle-Écosse,2659695714.0478783,0.6056944444012465
Nouvelle-Écosse,Argyle,Nouvelle-Écosse,South Shore--St. Margarets,3455977.4396991343,Nouvelle-Écosse,2659695714.0478783,0.0012993882801876492
Nouvelle-Écosse,Barrington,Nouvelle-Écosse,Nova-Ouest,0.04063227196776864,Nouvelle-Écosse,1365070357.1035874,2.976569797763566e-11
Nouvelle-Écosse,Barrington,Nouvelle-Écosse,South Shore--St. Margarets,625979431.2126802,Nouvelle-Écosse,1365070357.1035874,0.4585693535539709
Nouvelle-Écosse,Bear River (Part) 6,Nouvelle-Écosse,Nova-Ouest,2237385.9556261413,Nouvelle-Écosse,53639.49971780903,41.71153659890119
Nouvelle-Écosse,Bear River (Part) 6,Nouvelle-Écosse,Nova-Ouest,2237385.9556261413,Nouvelle-Écosse,2237385.9556261413,1.0
Nouvelle-Écosse,Bear River (Part) 6,Nouvelle-Écosse,Nova-Ouest,53639.499717808794,Nouvelle-Écosse,53639.49971780903,0.9999999999999957
Nouvelle-Écosse,Bear River (Part) 6,Nouvelle-Écosse,Nova-Ouest,53639.499717808794,Nouvelle-Écosse,2237385.9556261413,0.023974182721102123
Nouvelle-Écosse,Bear River 6B,Nouvelle-Écosse,Nova-Ouest,220635.4395774376,Nouvelle-Écosse,220635.43957743762,0.9999999999999999
Nouvelle-Écosse,Beaver Lake 17,Nouvelle-Écosse,Nova-Centre,851339.0943511187,Nouvelle-Écosse,851339.0943511188,0.9999999999999999
Nouvelle-Écosse,Berwick,Nouvelle-Écosse,Nova-Ouest,3422096.447076915,Nouvelle-Écosse,3422096.447076915,1.0
Nouvelle-Écosse,Bridgewater,Nouvelle-Écosse,South Shore--St. Margarets,13180339.166517183,Nouvelle-Écosse,13180339.166517183,1.0
Nouvelle-Écosse,Cape Breton,Nouvelle-Écosse,Cape Breton--Canso,1701889242.569727,Nouvelle-Écosse,3746624412.794588,0.45424602390296615
Nouvelle-Écosse,Cape Breton,Nouvelle-Écosse,Sydney--Victoria,787176968.0968964,Nouvelle-Écosse,3746624412.794588,0.21010298374417122
Nouvelle-Écosse,Chapel Island 5,Nouvelle-Écosse,Cape Breton--Canso,5685112.151793919,Nouvelle-Écosse,5923309.017156624,0.9597865205626149
Nouvelle-Écosse,Chester,Nouvelle-Écosse,Kings--Hants,0.033236339109081345,Nouvelle-Écosse,1452760745.832111,2.287805421810476e-11
Nouvelle-Écosse,Chester,Nouvelle-Écosse,South Shore--St. Margarets,1202088245.913023,Nouvelle-Écosse,1452760745.832111,0.8274509408116558
Nouvelle-Écosse,Clare,Nouvelle-Écosse,Nova-Ouest,912238286.7671729,Nouvelle-Écosse,1335113283.10025,0.6832665799331092
